==== Logging ASAMI ====
t, Ws_t, Wa_t, gtDistance
8.833,0.000,116.770,1017.763
8.867,0.000,117.687,917.751
8.900,0.000,118.615,917.529
8.933,0.000,119.553,1005.866
9.000,0.000,121.462,842.724
9.067,0.000,121.510,993.439
9.100,0.000,121.558,915.740
9.133,0.000,121.622,937.696
9.167,0.000,121.702,891.341
9.233,0.000,121.910,986.417
9.267,0.000,122.037,959.453
9.300,0.000,122.181,923.457
9.333,0.000,122.341,915.191
9.367,0.000,122.517,804.193
9.400,0.000,122.708,895.619
9.433,0.000,122.916,826.829
9.467,0.000,123.139,882.184
9.500,0.000,123.379,830.322
9.600,0.000,124.194,946.374
9.700,0.000,125.152,814.902
9.733,0.000,125.503,865.922
9.767,0.000,125.871,831.386
9.800,0.000,126.254,895.676
9.833,0.000,126.653,892.804
9.900,0.000,127.500,822.557
9.933,0.000,127.947,808.257
9.967,0.000,128.410,770.034
10.133,0.000,130.965,785.978
10.200,0.000,132.099,744.678
10.300,0.000,133.920,790.479
10.333,0.000,134.559,782.948
10.367,0.000,135.214,756.643
10.400,0.000,135.885,819.889
10.433,0.000,136.571,777.985
10.467,0.000,137.274,778.648
10.533,0.000,138.728,700.839
10.567,0.000,139.478,721.413
10.600,0.000,140.245,706.410
10.667,0.000,141.826,811.257
10.733,0.000,143.471,752.103
10.767,0.000,144.318,686.017
10.800,0.000,145.180,774.166
10.833,0.000,146.059,686.136
10.867,0.000,146.953,758.115
10.933,0.000,148.790,708.459
10.967,0.000,149.732,763.652
11.000,0.000,150.690,663.422
11.067,0.000,152.655,695.992
11.100,0.000,153.661,676.830
11.133,0.000,154.683,678.146
11.167,0.000,155.721,644.876
11.267,0.000,158.932,733.912
11.300,0.000,160.034,679.408
11.333,0.000,161.152,712.579
11.400,0.000,163.436,624.219
11.433,0.000,164.602,647.162
11.500,0.000,166.981,659.489
11.533,0.000,168.195,596.518
11.600,0.000,170.671,610.641
11.633,0.000,171.933,689.219
11.667,0.000,173.210,602.802
11.700,0.000,174.504,586.752
11.733,0.000,175.814,608.838
11.767,0.000,177.139,668.428
11.833,0.000,179.838,626.451
11.867,0.000,181.212,664.926
11.900,0.000,182.602,584.631
11.967,0.000,185.429,590.479
12.000,0.000,186.866,599.971
12.033,0.000,186.885,628.260
12.100,0.000,186.982,613.233
12.133,0.000,187.059,600.625
12.200,0.000,187.271,600.429
12.267,0.000,187.561,617.647
12.300,0.000,187.735,606.049
12.333,0.000,187.928,516.004
12.367,0.000,188.140,506.841
12.400,0.000,188.371,608.823
12.500,0.000,189.182,490.966
12.567,0.000,189.125,508.401
12.600,0.000,189.067,514.034
12.633,0.000,188.990,518.409
12.700,0.000,188.779,536.803
12.733,0.000,188.645,528.674
12.767,0.000,188.491,490.218
12.800,0.000,188.470,506.802
12.867,0.000,188.362,544.487
12.933,0.000,188.168,501.148
13.033,0.000,187.714,560.876
13.067,0.000,187.520,545.121
13.100,0.000,187.304,524.436
13.133,0.000,187.066,498.206
13.167,0.000,187.054,466.386
13.200,0.000,187.038,487.135
13.233,0.000,187.015,493.694
13.300,0.000,186.961,534.684
13.500,0.000,186.366,516.203
13.533,0.000,186.204,484.768
13.600,0.000,186.161,577.898
13.667,0.000,186.061,525.146
13.700,0.000,185.990,489.772
13.733,0.000,185.975,546.870
13.833,0.000,185.843,507.296
13.867,0.000,185.769,547.914
13.900,0.000,185.681,575.950
13.967,0.000,185.460,542.544
14.000,0.000,185.328,549.689
14.033,0.000,185.181,545.558
14.067,0.000,185.019,570.372
14.100,0.000,184.843,511.646
14.167,0.000,184.446,512.758
14.200,0.000,184.225,579.577
14.233,0.000,183.990,605.913
14.267,0.000,183.740,554.046
14.300,0.000,183.476,534.514
14.333,0.000,183.196,559.330
14.367,0.000,182.902,535.122
14.400,0.000,182.594,529.941
14.433,0.000,182.270,596.598
14.467,0.000,181.932,554.247
14.500,0.000,181.579,618.034
14.533,0.000,181.212,538.554
14.600,0.000,180.432,589.837
14.667,0.000,179.594,622.323
14.700,0.000,179.153,623.812
14.767,0.000,178.227,590.307
14.800,0.000,177.742,584.753
14.833,0.000,177.242,677.452
14.867,0.000,176.728,617.562
14.900,0.000,176.198,579.711
14.933,0.000,175.654,600.066
14.967,0.000,175.096,649.357
15.067,0.000,173.332,644.057
15.100,0.000,172.714,674.888
15.133,0.000,172.082,657.041
15.167,0.000,171.435,625.243
15.200,0.000,170.774,630.280
15.267,0.000,169.406,596.840
15.333,0.000,167.980,728.203
15.367,0.000,167.245,670.169
15.400,0.000,166.495,640.641
15.433,0.000,165.731,673.055
15.467,0.000,164.952,729.846
15.500,0.000,164.158,736.846
15.533,0.000,163.349,718.681
15.567,0.000,162.526,753.025
15.600,0.000,161.688,668.155
15.633,0.000,160.835,655.312
15.700,0.000,159.086,698.896
15.733,0.000,158.189,726.508
15.767,0.000,157.277,719.731
15.833,0.000,155.410,742.094
15.867,0.000,154.455,664.336
15.900,0.000,153.484,687.901
15.933,0.000,152.499,793.928
15.967,0.000,151.500,700.423
16.033,0.000,149.456,730.490
16.100,0.000,147.354,741.465
16.133,0.000,146.281,799.574
16.200,0.000,144.090,764.655
16.267,0.000,141.841,741.243
16.333,0.000,139.533,809.830
16.367,0.000,138.357,716.352
16.400,0.000,137.166,824.546
16.433,0.000,135.960,701.601
16.533,0.000,132.255,802.587
16.567,0.000,130.991,756.638
16.600,0.000,129.712,792.960
16.667,0.000,127.110,815.419
16.733,0.000,125.768,854.607
16.767,0.000,125.730,856.118
16.800,0.000,125.674,844.736
16.833,0.000,125.599,880.139
16.933,0.000,125.262,763.440
16.967,0.000,125.112,903.600
17.000,0.000,124.943,894.717
17.033,0.000,124.756,775.175
17.100,0.000,124.325,921.670
17.133,0.000,124.081,860.584
17.200,0.000,123.538,927.086
17.233,0.000,123.238,833.836
17.267,0.000,122.919,861.528
17.300,0.000,122.582,819.358
17.333,0.000,122.226,860.886
17.367,0.000,121.851,845.064
17.400,0.000,121.457,933.307
17.433,0.000,121.045,956.065
17.467,0.000,120.614,869.877
17.500,0.000,120.164,905.276
17.567,0.000,119.208,951.094
17.667,0.000,117.634,1004.523
17.733,0.000,116.491,951.009
17.767,0.000,115.891,913.887
18.033,0.000,110.418,1049.912
18.067,0.000,109.650,885.960
18.100,0.000,108.863,987.966
18.133,0.000,108.057,984.140
18.167,0.000,107.232,966.658
18.200,0.000,106.389,948.663
18.233,0.000,105.527,978.725
18.267,0.000,104.646,991.983
18.333,0.000,102.828,971.517
18.367,0.000,101.891,982.289
18.400,0.000,100.935,928.736
18.433,0.000,99.960,963.256
18.500,0.000,97.955,986.573
18.567,0.000,95.874,935.709
18.600,0.000,94.806,1083.411
