==== Logging ASAMI ====
t, Ws_t, Wa_t, gtDistance
8.600,0.000,160.105,687.435
8.633,0.000,161.819,714.106
8.767,0.000,168.894,688.157
8.800,0.000,170.717,735.811
8.833,0.000,172.562,741.200
8.867,0.000,174.428,749.712
8.900,0.000,176.316,647.372
8.967,0.000,180.158,704.547
9.033,0.000,182.120,712.465
9.067,0.000,182.139,707.585
9.100,0.000,182.168,600.534
9.233,0.000,182.377,697.895
9.267,0.000,182.453,661.780
9.333,0.000,182.634,570.737
9.367,0.000,182.738,584.714
9.400,0.000,182.852,567.830
9.433,0.000,182.976,654.184
9.500,0.000,183.252,609.639
9.567,0.000,183.565,606.489
9.600,0.000,183.736,618.554
9.633,0.000,183.917,564.928
9.667,0.000,184.107,543.788
9.700,0.000,184.307,632.553
9.733,0.000,184.516,580.468
9.833,0.000,185.200,569.454
9.867,0.000,185.447,568.454
9.900,0.000,185.704,520.961
9.933,0.000,185.970,556.955
10.033,0.000,186.826,519.953
10.067,0.000,187.130,488.122
10.133,0.000,187.108,534.680
10.200,0.000,187.056,560.448
10.267,0.000,186.974,486.526
10.300,0.000,186.956,530.290
10.333,0.000,186.919,525.295
10.367,0.000,186.864,515.834
10.400,0.000,186.791,531.897
10.433,0.000,186.699,507.945
10.467,0.000,186.589,490.548
10.500,0.000,186.578,563.547
10.533,0.000,186.556,549.377
10.567,0.000,186.524,539.351
10.600,0.000,186.481,559.776
10.633,0.000,186.427,463.001
10.667,0.000,186.418,550.601
10.800,0.000,186.293,495.897
10.833,0.000,186.278,463.676
10.867,0.000,186.259,539.716
10.900,0.000,186.222,524.775
11.000,0.000,185.998,561.733
11.100,0.000,185.607,526.586
11.133,0.000,185.439,513.107
11.200,0.000,185.047,496.399
11.233,0.000,185.041,521.627
11.267,0.000,185.027,561.769
11.367,0.000,184.947,488.846
11.533,0.000,184.692,564.882
11.567,0.000,184.590,551.436
11.633,0.000,184.336,543.745
11.700,0.000,184.013,595.072
11.767,0.000,183.623,531.332
11.800,0.000,183.403,603.041
11.833,0.000,183.165,506.591
11.867,0.000,182.910,569.189
11.967,0.000,182.045,561.107
12.000,0.000,181.722,509.655
12.067,0.000,181.027,548.097
12.100,0.000,180.653,553.187
12.133,0.000,180.263,593.530
12.167,0.000,179.856,546.302
12.267,0.000,178.532,602.352
12.333,0.000,177.565,650.149
12.367,0.000,177.056,542.091
12.400,0.000,176.530,595.196
12.433,0.000,175.987,664.845
12.467,0.000,175.427,580.203
12.500,0.000,174.850,624.920
12.533,0.000,174.256,556.867
12.567,0.000,173.645,593.551
12.600,0.000,173.017,565.068
12.700,0.000,171.031,670.242
12.800,0.000,168.893,587.873
12.833,0.000,168.146,609.992
12.867,0.000,167.383,646.130
12.900,0.000,166.602,619.371
12.933,0.000,165.805,627.384
12.967,0.000,164.990,722.331
13.000,0.000,164.158,605.855
13.033,0.000,163.310,616.882
13.067,0.000,162.444,717.062
13.100,0.000,161.562,651.293
13.133,0.000,160.663,696.747
13.200,0.000,158.813,741.549
13.300,0.000,155.911,673.702
13.333,0.000,154.910,717.369
13.367,0.000,153.892,646.286
13.467,0.000,150.735,732.683
13.500,0.000,149.649,665.866
13.600,0.000,146.289,764.649
13.633,0.000,145.135,760.801
13.667,0.000,143.964,702.940
13.700,0.000,142.776,698.888
13.767,0.000,140.350,695.289
13.800,0.000,139.111,748.195
13.867,0.000,136.582,718.748
13.900,0.000,135.292,796.479
13.933,0.000,133.986,824.112
13.967,0.000,132.662,764.774
14.033,0.000,129.964,813.699
14.067,0.000,128.589,861.652
14.100,0.000,127.198,715.479
14.167,0.000,124.364,836.876
14.233,0.000,121.462,858.671
14.267,0.000,119.985,866.200
14.300,0.000,118.492,776.379
14.333,0.000,116.982,855.018
14.367,0.000,115.454,831.141
14.433,0.000,115.408,827.729
14.467,0.000,115.361,772.415
14.500,0.000,115.299,766.223
14.567,0.000,115.128,781.160
14.600,0.000,115.019,889.039
14.633,0.000,114.895,890.145
14.700,0.000,114.600,888.913
14.733,0.000,114.429,834.531
14.767,0.000,114.243,850.303
14.800,0.000,114.041,903.674
14.833,0.000,113.823,836.046
14.867,0.000,113.590,880.259
14.900,0.000,113.342,855.282
14.967,0.000,112.798,868.166
15.000,0.000,112.503,847.024
15.033,0.000,112.192,926.001
15.067,0.000,111.866,976.222
15.100,0.000,111.524,958.842
15.133,0.000,111.167,915.656
15.167,0.000,110.794,966.382
15.200,0.000,110.406,931.750
15.333,0.000,108.697,974.031
15.367,0.000,108.231,979.041
15.400,0.000,107.749,930.275
15.467,0.000,106.740,975.434
15.500,0.000,106.211,1029.755
15.533,0.000,105.668,909.307
15.567,0.000,105.109,1034.861
15.600,0.000,104.534,927.893
15.633,0.000,103.943,909.332
15.700,0.000,102.716,968.260
15.733,0.000,102.079,969.376
15.767,0.000,101.427,995.472
15.833,0.000,100.075,1068.130
15.867,0.000,99.376,1051.948
15.900,0.000,98.662,1063.112
15.933,0.000,97.932,1024.546
15.967,0.000,97.186,954.921
16.000,0.000,96.425,947.158
16.067,0.000,94.856,1109.106
16.100,0.000,94.048,984.616
16.133,0.000,93.225,1035.774
16.167,0.000,92.386,1014.141
16.200,0.000,91.531,1003.033
16.233,0.000,90.662,940.372
16.267,0.000,89.776,1004.970
16.300,0.000,88.875,943.000
16.333,0.000,87.959,1127.525
16.367,0.000,87.027,1124.112
16.400,0.000,86.079,1071.038
16.467,0.000,84.137,1026.578
16.500,0.000,83.143,1128.960
16.600,0.000,80.067,972.770
16.633,0.000,79.011,1092.213
16.667,0.000,77.939,1050.781
16.700,0.000,76.852,1111.781
16.767,0.000,74.630,1188.143
16.800,0.000,73.496,1156.410
16.833,0.000,72.347,1199.006
16.867,0.000,71.181,1003.652
16.933,0.000,68.805,1067.106
16.967,0.000,67.593,1110.066
17.000,0.000,66.366,1221.214
17.033,0.000,65.123,1163.503
17.067,0.000,63.865,1124.405
17.100,0.000,62.591,1054.177
17.200,0.000,58.676,1160.926
